0.6557,0.2238,0.2296,0.8976,0.1043,0.1899,0.9271,0.9964,0.7597,0.5971,0.8301,0.4818,0.3638,0.8601,0.6876,0.5403,0.0752,0.5431,0.6046,0.8071,0.4122,0.8548,0.6901,0.6820,0.4410,0.5296,0.5075,0.2684,0.4662,0.6425,0.1697,0.2887,0.1581,0.4214,0.3335,0.5042,0.1602,0.4041,0.2349,0.6936,0.0884,0.8318,0.7749,0.6009,0.4682,0.9758,0.7914,0.3128,0.7880,0.9371
0.1869,0.8044,0.9912,0.0782,0.6911,0.3238,0.4067,0.8913,0.7746,0.4556,0.2474,0.5872,0.7541,0.7801,0.1235,0.0065,0.5098,0.6218,0.0855,0.7632,0.1201,0.3119,0.0194,0.0287,0.1205,0.1109,0.7603,0.3343,0.7361,0.3264,0.8996,0.9022,0.0560,0.9192,0.4880,0.9578,0.4902,0.6116,0.4573,0.4322,0.4839,0.8752,0.4132,0.7050,0.5989,0.5216,0.8307,0.1312,0.7370,0.3482
0.3517,0.4116,0.6198,0.3747,0.3313,0.7585,0.9554,0.0801,0.8873,0.4075,0.1418,0.0045,0.8189,0.5999,0.6440,0.7484,0.9106,0.1515,0.3756,0.3521,0.3338,0.1696,0.8496,0.1898,0.6217,0.0297,0.9577,0.1313,0.9682,0.3757,0.7788,0.1364,0.3046,0.8583,0.8224,0.3958,0.3443,0.3801,0.2281,0.8395,0.1088,0.2877,0.6052,0.1683,0.7645,0.3723,0.2484,0.1502,0.2080,0.3447
0.7943,0.6938,0.5595,0.5433,0.8398,0.0514,0.0618,0.7348,0.6763,0.1935,0.2182,0.8014,0.8389,0.3789,0.2355,0.2475,0.7778,0.0890,0.7362,0.0879,0.7046,0.5329,0.1513,0.2915,0.2747,0.4052,0.9879,0.5840,0.2378,0.5482,0.2149,0.2150,0.7939,0.0335,0.6476,0.7509,0.6162,0.9561,0.7804,0.7597,0.5956,0.7191,0.1449,0.2477,0.0218,0.5439,0.4248,0.7280,0.7874,0.4832
0.9961,0.8296,0.6181,0.2881,0.2313,0.0906,0.2628,0.6555,0.1872,0.4198,0.5793,0.3699,0.8528,0.9425,0.2843,0.9128,0.8586,0.3361,0.9294,0.1175,0.1569,0.1357,0.6356,0.4141,0.7850,0.0314,0.8315,0.1287,0.0759,0.2931,0.5440,0.2610,0.0050,0.1846,0.2605,0.7890,0.8460,0.6815,0.4781,0.6330,0.7721,0.7700,0.8427,0.0662,0.1112,0.3219,0.4811,0.5066,0.6374,0.7182
0.9619,0.1822,0.6625,0.2026,0.3730,0.7249,0.2441,0.4335,0.6832,0.2379,0.3427,0.2776,0.9441,0.0153,0.4169,0.6228,0.1792,0.9827,0.3381,0.5495,0.2807,0.0499,0.2401,0.6079,0.3758,0.9847,0.2768,0.9966,0.2858,0.8451,0.2788,0.3668,0.7690,0.2225,0.9859,0.2469,0.6413,0.2909,0.9489,0.5099,0.7382,0.9854,0.0573,0.7619,0.2177,0.3033,0.8419,0.9955,0.2400,0.9491
0.8687,0.8959,0.5402,0.3044,0.3941,0.5663,0.9937,0.1060,0.4930,0.9600,0.2375,0.3496,0.4341,0.7654,0.6872,0.8324,0.8284,0.6887,0.5174,0.1626,0.1831,0.4608,0.3681,0.6333,0.8493,0.4691,0.9537,0.3673,0.6045,0.0675,0.3729,0.3386,0.6820,0.1304,0.0861,0.2339,0.1009,0.3628,0.6627,0.4176,0.3766,0.7209,0.9337,0.2951,0.5075,0.4852,0.3996,0.7577,0.3427,0.7411
0.0760,0.8944,0.1139,0.6127,0.0283,0.7870,0.7997,0.9528,0.1523,0.4265,0.1659,0.5516,0.3334,0.8513,0.3916,0.6152,0.2743,0.1127,0.5997,0.6613,0.0007,0.0314,0.4535,0.1510,0.3031,0.5906,0.2084,0.8736,0.8972,0.4346,0.1087,0.4561,0.3186,0.9201,0.9821,0.6336,0.9137,0.8545,0.1492,0.8692,0.2946,0.7671,0.6442,0.6545,0.8178,0.7328,0.6991,0.7087,0.8126,0.5940
0.2348,0.4923,0.9585,0.1739,0.6529,0.0685,0.6568,0.8748,0.0149,0.0274,0.4366,0.4985,0.9202,0.5659,0.3817,0.4361,0.1418,0.7105,0.8680,0.4244,0.7165,0.9115,0.2424,0.2995,0.0453,0.5959,0.0358,0.2003,0.8645,0.6233,0.9632,0.6318,0.7372,0.2730,0.1376,0.1811,0.9785,0.9525,0.1207,0.1392,0.4394,0.9796,0.2805,0.2995,0.3179,0.9571,0.3610,0.8963,0.3822,0.1974
0.0430,0.8378,0.0591,0.1535,0.9189,0.6612,0.9668,0.8241,0.7194,0.6303,0.2229,0.3553,0.6167,0.4818,0.1472,0.9299,0.3835,0.9502,0.4550,0.1495,0.3139,0.4980,0.1014,0.1866,0.6132,0.8944,0.3810,0.3378,0.9472,0.3559,0.7834,0.0224,0.8516,0.9353,0.8248,0.1888,0.5505,0.8663,0.6768,0.8489,0.7611,0.3215,0.4024,0.2455,0.9629,0.9800,0.5828,0.6232,0.6161,0.0380
